No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode,CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy channel Lock-Out/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Receive Group List,TX Prohibit,Reverse,Simplex TDMA,TDMA Adaptive,Encryption Type,Digital Encryption,Call Confirmation,Talk Around,Work Alone,Custom CTCSS,2TONE Decode,DTMF Own ID,5TONE Own ID,Scan List 1,Scan List 2,Scan List 3,Scan List 4,Scan List 5,Scan List 6,Scan List 7,Scan List 8,Ranging,Through Mode,APRS Report,APRS Report Channel
56,433.525,433.52500,433.52500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
57,433.550,433.55000,433.55000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
58,433.575,433.57500,433.57500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
59,ADRASEC 75,430.16250,439.56250,A-Analog,High,12.5K,Off,74.4,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
60,ADRASEC 91,432.52500,432.52500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
61,ADRASEC 92,430.31250,439.71250,A-Analog,High,12.5K,Off,74.4,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
62,ADRASEC 94,430.32500,439.72500,A-Analog,High,12.5K,Off,74.4,Simplex,Group Call,99,Exemple1,Repeater,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
63,SOS MEDECIN,464.17500,464.17500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
64,Urgence 70 cm,432.53750,432.53750,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
65,SOS E,161.30000,161.30000,A-Analog,Turbo,12.5K,Off,123.0,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
66,SOS Vol Libre,143.98750,143.98750,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
67,Appel-Urgence 2m,145.50000,145.50000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
68,SOS B,163.02500,163.02500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
69,SOS A,163.10000,163.10000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
70,SOS C,163.17500,163.17500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
71,SOS RA-U,432.53750,432.53750,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
72,POCSAG,439.98750,439.98750,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
73,SOS UB,463.02500,463.02500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
74,SOS UA,463.10000,463.10000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
75,SOS UC,463.17500,463.17500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
76,SOS ASN,156.52500,156.52500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
77,SOS MARINE,156.80000,156.80000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
78,SOS CANAL K,158.62500,158.62500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
79,AIS-1,161.97500,161.97500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
80,AIS-2,162.02500,162.02500,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,URGENCES,,,,,,,,Off,Off,Off,1
81,Private SL1-CC02,446.19375,446.19375,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,2,1,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
82,Private SL2-CC07,447.00000,447.00000,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,7,2,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
83,Private SL2-CC15,446.00000,446.00000,D-Digital,High,12.5K,Off,Off,Simplex,Group Call,99,,Always,Carrier,Off,1,1,1,Off,15,2,Simplex TG-99,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
88,F5ZAD Clamart,145.60000,145.00000,A-Analog,High,12.5K,Off,Off,Simplex,Group Call,99,Exemple1,Off,Carrier,Off,1,1,1,Off,1,1,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
89,F6ZHF Clamart,430.12500,439.52500,A-Analog,High,25K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,7,2,Rx Group FR TS2,Off,Off,Off,On,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
90,F1ZEI -Les Lilas,430.10000,439.50000,A-Analog,High,12.5K,Off,123.0,284 - Bulgarie,Group Call,284,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
91,F1ZJC Colombes,430.37500,439.77500,A-Analog,High,25K,Off,123.0,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,7,2,Rx Group FR TS2,Off,Off,Off,On,Normal Encryption,Off,Off,Off,Off,131.8,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
92,F5ZNN Coulommier,145.65000,145.05000,A-Analog,High,12.5K,Off,77.0,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
93,F5KTR - RRF,145.26250,145.26250,A-Analog,High,12.5K,Off,100.0,9 - Local,Group Call,9,Exemple1,Off,Carrier,DTMF,3,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,VHF & UHF - IdF,,,,,,,,Off,Off,Off,1
94,F5ZMH Linas,145.73750,145.13750,A-Analog,High,12.5K,Off,82.5,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
95,F5ZEQ Sartrouvil,145.75000,145.15000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,DTMF,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
96,F1ZIV St Genevie,145.77500,145.17500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,DTMF,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,FAVORIS,,,,,,,,Off,Off,Off,1
97,F1ZHK Nangis,145.76250,146.36250,A-Analog,High,12.5K,Off,77.0,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,,,,,,,,,Off,Off,Off,1
98,R0,145.60000,145.00000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
99,R0X,145.61250,145.01250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
100,R1,145.62500,145.02500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
101,R1X,145.63750,145.03750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
102,R2,145.65000,145.05000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
103,R2X,145.66250,145.06250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
104,R3,145.67500,145.07500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
105,R3X,145.68750,145.08750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
106,R4,145.70000,145.10000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
107,R4X,145.71250,145.11250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
108,R5,145.72500,145.12500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
109,R5X,145.73750,145.13750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
110,R6,145.75000,145.15000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
111,R6X,145.76250,145.16250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
112,R7,145.77500,145.17500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
113,R7X,145.78750,145.18750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Off,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,RELAIS VHF FR,,,,,,,,Off,Off,Off,1
114,S8,145.20000,145.20000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
115,S8X,145.21250,145.21250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
116,S9,145.22500,145.22500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
117,S9X,145.23750,145.23750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
118,S10,145.25000,145.25000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
119,S10X,145.26250,145.26250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
120,S11,145.27500,145.27500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
121,S11X,145.28750,145.28750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
122,S12,145.30000,145.30000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
123,S12X,145.31250,145.31250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
124,S13,145.32500,145.32500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
125,S13X,145.33750,145.33750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
126,S14,145.35000,145.35000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
127,S14X,145.36250,145.36250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
128,S15,145.37500,145.37500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
129,S15X,145.38750,145.38750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
130,S16,145.40000,145.40000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
131,S16X,145.41250,145.41250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
132,S17,145.42500,145.42500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
133,S17X,145.43750,145.43750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
134,S18 RASEC,145.45000,145.45000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
135,S18X RASEC,145.46250,145.46250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
136,S19 RASEC,145.47500,145.47500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
137,S19X,145.48750,145.48750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
138,S20 Appel FM,145.50000,145.50000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
139,S20X,145.51250,145.51250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
140,S21,145.52500,145.52500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
141,S21X,145.53750,145.53750,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
142,S22,145.55000,145.55000,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
143,S22X,145.56250,145.56250,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
144,S23,145.57500,145.57500,A-Analog,High,12.5K,Off,Off,9 - Local,Group Call,9,Exemple1,Busy,Carrier,Off,1,1,1,Off,1,2,Rx Group FR TS2,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,1,1,1,SIMPLEX VHF-UHF,,,,,,,,Off,Off,Off,1
